Time,ECG
10861,735.86
10862,716.99
10863,683.56
10864,657.14
10865,619.66
10866,581.92
10867,559.81
10868,558.46
10869,543.91
10870,534.47
10871,511.29
10872,486.48
10873,446.58
10874,396.98
10875,347.1
10876,297.5
10877,247.62
10878,206.38
10879,173.22
10880,140.06
10881,106.9
10882,74.544
10883,50.011
10884,26.286
10885,9.0324
11253,7.4148
11255,7.4148
11317,1.7534
11321,0.94458
11324,7.4148
11325,1.7534
11326,6.3365
11327,8.7628
11328,9.0324
11329,1.2142
11332,7.954
11333,8.2236
11334,8.4932
11336,8.2236
11338,8.7628
11339,8.2236
11340,8.2236
11341,8.2236
11342,8.2236
11343,8.2236
11344,8.2236
11345,8.2236
11346,8.2236
11347,8.2236
11348,8.2236
11349,8.2236
11350,7.954
11351,9.0324
11352,4.1797
11353,3.3709
11354,5.2581
11355,1.7534
11356,14.155
11357,11.728
11358,11.728
11359,17.12
11360,16.042
11361,16.311
11362,16.042
11363,16.042
11364,16.042
11365,16.042
11366,16.042
11367,15.772
11368,16.851
11369,9.302
11370,7.6844
11371,7.954
11372,7.954
11373,7.954
11374,7.954
11375,7.954
11376,7.954
11377,7.954
11378,7.954
11379,7.954
11380,7.954
11381,7.954
11382,7.954
11383,7.954
11384,7.954
11385,7.954
11386,7.4148
11387,10.111
11388,14.424
11389,8.7628
11390,16.851
11391,16.042
11392,13.076
11393,7.1452
11394,7.1452
11395,11.998
11396,12.268
11397,10.38
11398,16.851
11399,15.503
11400,15.503
11401,16.851
11402,9.5716
11403,13.076
11404,10.92
11405,6.8756
11406,7.6844
11407,7.6844
11408,6.8756
11409,13.885
11410,16.581
11411,8.4932
11412,7.4148
11413,6.8756
11414,15.503
11415,7.6844
11416,14.963
11417,15.503
11418,15.503
11419,7.4148
11420,7.4148
11421,7.4148
11422,7.4148
11423,7.4148
11424,7.1452
11425,8.2236
11426,16.042
11427,15.233
11428,15.503
11429,15.503
11430,15.503
11431,15.233
11432,15.233
11433,15.233
11434,15.233
11435,15.233
11436,15.233
11437,15.233
11438,15.233
11439,15.233
11440,15.233
11441,15.233
11442,14.963
11443,16.042
11444,10.111
11445,6.3365
11446,7.1452
11447,7.1452
11448,6.3365
11449,12.807
11450,16.581
11451,7.6844
11452,13.346
11453,15.503
11454,14.963
11455,14.963
11456,15.503
11457,7.4148
11458,6.8756
11459,6.8756
11460,6.8756
11461,6.8756
11462,6.8756
11463,6.8756
11464,6.8756
11465,6.8756
11466,6.8756
11467,6.6061
11468,8.4932
11469,14.155
11470,5.7973
11471,7.1452
11472,6.0669
11473,9.5716
11474,13.346
11475,5.7973
11476,6.3365
11477,9.8412
11478,15.503
11479,15.503
11480,10.92
11481,6.6061
11482,2.8317
11493,6.3365
11495,6.0669
11497,6.3365
11504,6.8756
11505,6.6061
11506,6.8756
11507,6.6061
11508,6.6061
11509,6.8756
11510,6.3365
11511,7.954
11512,16.042
11513,12.268
11514,7.954
11515,15.772
11516,14.424
11517,14.694
11518,14.694
11519,14.963
11520,13.885
11521,18.199
11522,23.051
11523,23.59
11524,17.12
11525,19.277
11526,17.929
11527,18.468
11528,23.321
11529,22.243
11530,22.512
11531,22.512
11532,21.703
11533,28.443
11534,31.409
11535,24.669
11536,14.424
11537,21.973
11538,14.694
11539,21.434
11540,22.512
11541,22.243
11542,22.243
11543,22.243
11544,22.243
11545,22.243
11546,22.243
11547,21.703
11548,13.076
11549,5.5277
11550,6.0669
11551,5.7973
11552,6.3365
11553,4.4493
11556,4.1797
11558,7.6844
11559,2.5621
11604,1.4838
11605,7.1452
11606,4.9885
11607,10.38
11608,14.963
11609,13.885
11610,14.155
11611,14.155
11612,14.155
11613,14.155
11614,14.155
11615,14.155
11616,13.885
11617,14.155
11618,13.615
11619,14.963
11620,6.0669
11621,13.615
11622,6.0669
11623,13.615
11624,6.0669
11625,13.885
11626,6.0669
11627,5.7973
11628,6.0669
11629,14.155
11630,13.885
11631,13.885
11632,13.885
11633,14.155
11634,12.807
11635,4.9885
11636,6.0669
11637,5.7973
11638,5.7973
11639,5.7973
11640,5.7973
11641,5.7973
11642,5.7973
11643,5.7973
11644,5.7973
11645,5.5277
11646,6.6061
11647,1.4838
11653,4.1797
11655,3.3709
11656,0.94458
11658,4.9885
11669,5.7973
11671,5.7973
11681,3.6405
11683,4.1797
11688,2.023
11689,2.5621
11727,53.246
11728,103.93
11729,166.21
11730,232.26
11731,298.04
11732,363.28
11733,429.87
11734,490.53
11735,547.68
11736,600.52
11737,643.93
11738,679.24
11739,705.39
11740,725.61
11741,721.84
11742,713.21
11743,691.37
11744,664.95
11745,640.15
11746,607.8
11747,573.29
11748,554.42
11749,544.99
11750,544.45
11751,528.0
11752,502.93
11753,477.59
11754,443.62
11755,393.47
11756,353.3
11757,318.53
11758,268.65
11759,227.67
11760,187.77
11761,153.0
11762,114.44
11763,89.102
11764,57.02
11765,32.757
11766,10.92
12090,7.4148
12093,7.954
12094,7.954
12095,5.5277
12096,0.94458
12097,6.6061
12106,9.0324
12107,7.1452
12108,7.4148
12109,8.2236
12110,2.5621
12129,7.954
12130,7.4148
12131,7.4148
12132,8.2236
12133,16.311
12134,15.503
12135,15.503
12136,16.042
12137,13.885
12138,6.6061
12139,7.6844
12140,7.4148
12141,7.4148
12142,7.954
12143,4.4493
12165,7.1452
12166,7.6844
12167,7.4148
12168,7.4148
12169,7.4148
12170,7.4148
12171,7.6844
12172,7.1452
12176,0.94458
12177,6.6061
12179,8.4932
12180,7.4148
12181,6.8756
12182,10.38
12183,13.615
12184,6.6061
12185,6.8756
12186,11.189
12187,12.807
12188,6.3365
12189,7.954
12190,6.6061
12191,11.459
12192,17.39
12193,9.302
12194,12.807
12195,9.8412
12196,12.268
12197,15.233
12198,21.164
12199,23.051
12200,29.522
12201,31.678
12202,31.139
12203,31.948
12204,24.13
12205,22.782
12206,23.59
12207,16.042
12208,6.8756
12209,14.963
12210,7.1452
12211,6.8756
12212,6.8756
12213,6.8756
12214,7.6844
12215,14.694
12216,7.1452
12217,15.772
12218,14.963
12219,14.424
12220,17.12
12221,21.434
12222,15.772
12223,24.13
12224,22.512
12225,23.051
12226,22.782
12227,22.782
12228,22.782
12229,22.782
12230,22.782
12231,22.512
12232,23.86
12233,17.12
12234,19.547
12235,17.659
12236,18.738
12237,23.321
12238,22.512
12239,22.243
12240,23.59
12241,15.233
12242,21.164
12243,16.311
12244,13.885
12245,14.424
12246,14.424
12247,14.424
12248,14.424
12249,14.424
12250,14.424
12251,14.424
12252,14.424
12253,22.512
12254,22.243
12255,22.243
12256,22.243
12257,22.243
12258,22.243
12259,22.243
12260,22.243
12261,22.243
12262,22.243
12263,21.973
12264,21.973
12265,21.973
12266,21.973
12267,21.973
12268,21.973
12269,21.973
12270,21.973
12271,21.973
12272,21.973
12273,21.973
12274,21.973
12275,21.434
12276,23.051
12277,15.772
12278,19.007
12279,17.12
12280,12.807
12281,13.885
12282,13.615
12283,13.615
12284,13.615
12285,13.615
12286,13.885
12287,13.076
12288,20.895
12289,21.703
12290,21.973
12291,13.615
12292,21.164
12293,21.434
12294,21.434
12295,21.434
12296,21.164
12297,13.615
12298,21.434
12299,12.537
12300,13.615
12301,13.346
12302,13.346
12303,12.807
12304,15.503
12305,19.547
12306,14.963
12307,19.277
12308,15.233
12309,19.007
12310,14.963
12311,22.512
12312,20.625
12313,22.243
12314,16.311
12315,16.311
12316,21.973
12317,20.895
12318,21.164
12319,20.895
12320,21.164
12321,20.895
12322,21.973
12323,14.963
12324,12.807
12325,11.998
12326,20.355
12327,13.885
12328,19.277
12329,21.164
12330,20.895
12331,20.625
12332,21.164
12333,13.076
12334,12.537
12335,12.807
12336,12.807
12337,12.537
12338,13.076
12339,20.625
12340,11.728
12341,13.615
12342,21.164
12343,20.895
12344,19.277
12345,11.998
12346,12.268
12347,14.963
12348,19.277
12349,11.459
12350,12.807
12351,12.268
12352,13.076
12353,9.0324
12354,3.6405
12355,3.9101
12356,8.2236
12357,13.346
12358,11.998
12359,13.076
12360,7.6844
12361,2.5621
12362,10.92
12363,6.0669
12364,10.65
12365,6.0669
12366,10.65
12367,6.3365
12368,3.9101
12369,4.1797
12370,4.9885
12372,3.9101
12374,3.6405
12375,4.4493
12376,4.1797
12377,4.1797
12378,4.1797
12380,4.1797
12383,4.9885
12384,2.5621
12386,3.6405
12401,0.94458
12402,4.9885
12403,4.1797
12404,4.1797
